SOURCE_ROW,TIME,PI,X,Y,RA,DEC,KEV,MISSION,INSTRUMENT,OBSERVATION_ID,RECORD_KEY
891,456567315.4492246,466,901,751,350.7643,58.822712,1.7009,suzaku,xis,508011020,suzaku/xis/508011020
1208,456567323.44922364,170,835,775,350.8012,58.829678,0.6205,suzaku,xis,508011020,suzaku/xis/508011020
2690,456567363.4492188,441,790,799,350.8264,58.836628,1.60965,suzaku,xis,508011020,suzaku/xis/508011020
3151,456567371.44921786,544,640,822,350.9103,58.84327,1.9856,suzaku,xis,508011020,suzaku/xis/508011020
3412,456567379.4492169,456,666,919,350.8958,58.871357,1.6644,suzaku,xis,508011020,suzaku/xis/508011020
3417,456567379.4492169,377,633,851,350.91425,58.85166,1.37605,suzaku,xis,508011020,suzaku/xis/508011020
3772,456567395.44921494,699,838,731,350.79953,58.816936,2.55135,suzaku,xis,508011020,suzaku/xis/508011020
4081,456567403.449214,296,830,842,350.804,58.849075,1.0804,suzaku,xis,508011020,suzaku/xis/508011020
4271,456567403.449214,306,667,1021,350.8953,58.900887,1.1169,suzaku,xis,508011020,suzaku/xis/508011020
5463,456567443.44920903,549,842,893,350.79724,58.863834,2.00385,suzaku,xis,508011020,suzaku/xis/508011020
5560,456567443.44920903,470,732,778,350.85883,58.830547,1.7155,suzaku,xis,508011020,suzaku/xis/508011020
5585,456567443.44920903,462,717,827,350.86722,58.844734,1.6863,suzaku,xis,508011020,suzaku/xis/508011020
5937,456567451.4492081,632,618,867,350.92264,58.85629,2.3068,suzaku,xis,508011020,suzaku/xis/508011020
5994,456567459.44920707,484,830,735,350.80402,58.818096,1.7666,suzaku,xis,508011020,suzaku/xis/508011020
6028,456567459.44920707,742,796,777,350.82303,58.83026,2.7083,suzaku,xis,508011020,suzaku/xis/508011020
6039,456567459.44920707,919,790,790,350.8264,58.834023,3.35435,suzaku,xis,508011020,suzaku/xis/508011020
6119,456567459.44920707,1170,716,775,350.86777,58.829678,4.2705,suzaku,xis,508011020,suzaku/xis/508011020
6380,456567467.4492061,536,740,843,350.85434,58.849365,1.9564,suzaku,xis,508011020,suzaku/xis/508011020
6398,456567467.4492061,332,708,821,350.87225,58.842995,1.2118,suzaku,xis,508011020,suzaku/xis/508011020
6460,456567467.4492061,1057,645,865,350.90753,58.855717,3.85805,suzaku,xis,508011020,suzaku/xis/508011020
6521,456567475.4492051,517,868,812,350.7827,58.84038,1.88705,suzaku,xis,508011020,suzaku/xis/508011020
6550,456567475.4492051,332,818,760,350.81073,58.825336,1.2118,suzaku,xis,508011020,suzaku/xis/508011020
6896,456567483.4492041,447,764,841,350.8409,58.84879,1.63155,suzaku,xis,508011020,suzaku/xis/508011020
6985,456567483.4492041,500,683,843,350.88626,58.849358,1.825,suzaku,xis,508011020,suzaku/xis/508011020
7511,456567499.44920206,315,704,877,350.8745,58.859207,1.14975,suzaku,xis,508011020,suzaku/xis/508011020
7630,456567507.44920105,537,829,742,350.80457,58.820126,1.96005,suzaku,xis,508011020,suzaku/xis/508011020
7685,456567507.44920105,304,790,798,350.8264,58.836338,1.1096,suzaku,xis,508011020,suzaku/xis/508011020
7818,456567507.44920105,687,698,821,350.87784,58.84299,2.50755,suzaku,xis,508011020,suzaku/xis/508011020
7824,456567507.44920105,448,714,884,350.8689,58.861233,1.6352,suzaku,xis,508011020,suzaku/xis/508011020
8142,456567515.44920003,440,726,966,350.8622,58.884975,1.606,suzaku,xis,508011020,suzaku/xis/508011020
8678,456567531.449198,392,749,818,350.8493,58.84213,1.4308,suzaku,xis,508011020,suzaku/xis/508011020
8781,456567531.449198,534,674,936,350.89133,58.87628,1.9491,suzaku,xis,508011020,suzaku/xis/508011020
8854,456567539.449197,363,835,733,350.8012,58.817516,1.32495,suzaku,xis,508011020,suzaku/xis/508011020
9481,456567555.4491949,356,836,889,350.8006,58.86268,1.2994,suzaku,xis,508011020,suzaku/xis/508011020
9787,456567563.4491939,819,793,823,350.82468,58.84358,2.98935,suzaku,xis,508011020,suzaku/xis/508011020
10584,456567587.4491908,272,889,922,350.7709,58.87222,0.9928,suzaku,xis,508011020,suzaku/xis/508011020
10918,456567595.4491898,380,802,810,350.81967,58.839813,1.387,suzaku,xis,508011020,suzaku/xis/508011020
